Age,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",43894,2961,2879,2740,2911,2760,2717,2880,2853,2734,2412,2203,2227,2006,2066,1937,1834,1889,1885
"0-14 years old",1671,174,143,135,158,114,97,103,97,108,63,57,63,65,67,70,47,50,60
"15-19 years old",4879,409,386,339,337,337,306,325,358,300,263,242,242,203,225,178,153,143,133
"20-24 years old",5609,355,384,364,369,356,393,396,362,370,327,286,276,257,277,240,195,210,192
"25-29 years old",3799,265,225,221,217,233,232,271,261,234,211,196,191,178,181,169,177,167,170
"30-34 years old",2995,207,206,179,183,187,189,187,202,193,158,162,135,136,147,128,120,125,151
"35-39 years old",2867,210,187,210,222,220,193,190,176,182,153,112,141,114,114,115,106,107,115
"40-44 years old",3051,206,227,196,231,226,197,204,230,199,151,137,150,116,133,121,101,113,113
"45-49 years old",3151,181,206,186,213,209,184,232,239,199,191,176,156,132,167,113,129,117,121
"50-54 years old",2978,161,163,176,185,189,162,177,167,199,180,180,184,151,141,146,143,145,129
"55-59 years old",2598,139,141,126,166,117,154,156,165,171,166,136,138,130,120,138,132,160,143
"60-64 years old",2139,114,106,124,117,106,119,155,138,123,124,112,125,101,106,111,118,116,124
"65-69 years old",1789,116,114,114,95,93,102,108,98,110,92,72,93,87,92,87,102,101,113
"70-74 years old",1783,123,111,113,120,126,115,91,93,90,93,88,98,95,79,79,91,92,86
"75-79 years old",1766,133,135,117,110,91,119,105,115,88,81,89,88,90,82,80,93,78,72
"80+ years old",2819,168,145,140,188,156,155,180,152,168,159,158,147,151,135,162,127,165,163
