
Age,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",6045970,386129,396783,385630,395183,382879,365951,362553,353536,343289,314268,306506,308329,294877,299376,295568,277330,289866,287917
"0-14 years old",452079,31241,31978,31011,31632,29642,28615,27465,26031,24735,22419,21423,21894,21588,20976,21138,19479,20822,19990
"15-19 years old",698703,50583,52132,51089,50870,48011,44447,43133,42662,41383,37308,36306,35274,30923,29556,27791,25435,26196,25604
"20-24 years old",765757,50089,52281,50565,52007,49887,47922,47292,46646,43964,39481,38441,38302,36406,36536,35484,32808,34234,33412
"25-29 years old",592929,39088,39374,37424,37924,36384,34875,34997,34331,33681,30909,30406,30689,29264,29655,28877,27377,28668,29006
"30-34 years old",521621,37020,36795,34798,34891,33522,31129,30576,29022,28191,25586,25303,25330,24699,25380,25347,23988,25145,24899
"35-39 years old",514724,38330,38981,36938,37208,34669,31694,30723,28876,27890,25342,24122,23880,22675,23285,23075,21746,22537,22753
"40-44 years old",517665,33891,35262,34527,35943,35465,34002,33517,32098,30215,26926,25171,24820,23483,23601,23547,21713,22037,21447
"45-49 years old",482047,27706,28799,28563,30114,30354,29400,29609,29343,28970,27099,26328,26412,24927,24947,24088,21537,22200,21651
"50-54 years old",420756,22283,23844,23804,24218,24282,23860,24443,23972,24007,22875,22530,22900,22584,23424,23652,22288,23223,22567
"55-59 years old",327029,15656,16507,16536,18142,18558,18479,19234,19106,19007,17577,17240,17875,17791,18991,19048,18258,19395,19629
"60-64 years old",240176,11579,12102,11890,12429,12734,12960,13172,13284,13482,12918,13420,13822,13742,14193,14311,14117,14798,15223
"65-69 years old",174234,9697,9390,9210,9559,9505,9132,9057,9082,9095,8714,8640,9294,9269,10365,10689,10464,11382,11690
"70-74 years old",133543,8098,8094,7955,8324,8070,7706,7502,7362,7117,6556,6425,6742,6482,7045,7182,7074,7681,8128
"75-79 years old",102219,6127,6231,6143,6427,6133,6131,6043,5915,5856,5192,5160,5315,5127,5288,5291,5039,5276,5525
"80+ years old",102488,4741,5013,5177,5495,5663,5599,5790,5806,5696,5366,5591,5780,5917,6134,6048,6007,6272,6393
