
Year,"Total","Total","Total","1999","1999","1999","2000","2000","2000","2001","2001","2001","2002","2002","2002","2003","2003","2003","2004","2004","2004","2005","2005","2005","2006","2006","2006","2007","2007","2007","2008","2008","2008","2009","2009","2009","2010","2010","2010","2011","2011","2011","2012","2012","2012","2013","2013","2013","2014","2014","2014","2015","2015","2015","2016","2016","2016"
Measures,"Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities","Number of persons","Number of injured","Number of fatalities"
"Person Age",
"Total",6045970,3289325,43894,386129,211642,2961,396783,214350,2879,385630,209000,2740,395183,214689,2911,382879,208502,2760,365951,198550,2717,362553,197214,2880,353536,193272,2853,343289,186271,2734,314268,170271,2412,306506,165037,2203,308329,166124,2227,294877,162034,2006,299376,162530,2066,295568,160392,1937,277330,151689,1834,289866,157845,1889,287917,159913,1885
"0-14 years old",452079,210213,1671,31241,16844,174,31978,15970,143,31011,15181,135,31632,15298,158,29642,14560,114,28615,13752,97,27465,12953,103,26031,12321,97,24735,11514,108,22419,10286,63,21423,9537,57,21894,9357,63,21588,9261,65,20976,8839,67,21138,8793,70,19479,8236,47,20822,8741,50,19990,8770,60
"15-19 years old",698703,396757,4879,50583,28849,409,52132,29135,386,51089,28627,339,50870,28719,337,48011,27142,337,44447,24978,306,43133,24625,325,42662,24672,358,41383,23823,300,37308,21200,263,36306,20553,242,35274,19860,242,30923,17807,203,29556,16829,225,27791,15649,178,25435,14592,153,26196,14901,143,25604,14796,133
"20-24 years old",765757,433871,5609,50089,28391,355,52281,29562,384,50565,28602,364,52007,29456,369,49887,28430,356,47922,27228,393,47292,27012,396,46646,26819,362,43964,24952,370,39481,22263,327,38441,21608,286,38302,21700,276,36406,20804,257,36536,20532,277,35484,19871,240,32808,18449,195,34234,19157,210,33412,19035,192
"25-29 years old",592929,333436,3799,39088,22021,265,39374,21945,225,37424,20883,221,37924,21340,217,36384,20547,233,34875,19719,232,34997,19753,271,34331,19295,261,33681,18826,234,30909,17272,211,30406,16866,196,30689,17009,191,29264,16610,178,29655,16656,181,28877,16416,169,27377,15457,177,28668,16267,167,29006,16554,170
"30-34 years old",521621,286422,2995,37020,20107,207,36795,19998,206,34798,18928,179,34891,18985,183,33522,18387,187,31129,16874,189,30576,16712,187,29022,15997,202,28191,15349,193,25586,14028,158,25303,13799,162,25330,13944,135,24699,13876,136,25380,14022,147,25347,14100,128,23988,13376,120,25145,13901,125,24899,14039,151
"35-39 years old",514724,276687,2867,38330,20421,210,38981,20627,187,36938,19801,210,37208,20097,222,34669,18477,220,31694,16775,193,30723,16419,190,28876,15501,176,27890,14859,182,25342,13586,153,24122,12750,112,23880,12770,141,22675,12356,114,23285,12662,114,23075,12565,115,21746,11978,106,22537,12319,107,22753,12724,115
"40-44 years old",517665,277338,3051,33891,18073,206,35262,18550,227,34527,18395,196,35943,19179,231,35465,18801,226,34002,18087,197,33517,17904,204,32098,17276,230,30215,16262,199,26926,14273,151,25171,13387,137,24820,13269,150,23483,12686,116,23601,12613,133,23547,12674,121,21713,11900,101,22037,12048,113,21447,11961,113
"45-49 years old",482047,259141,3151,27706,14819,181,28799,15224,206,28563,15166,186,30114,16073,213,30354,16193,209,29400,15804,184,29609,15824,232,29343,15842,239,28970,15389,199,27099,14576,191,26328,14039,176,26412,14112,156,24927,13870,132,24947,13420,167,24088,13008,113,21537,11757,129,22200,12093,117,21651,11932,121
"50-54 years old",420756,228254,2978,22283,11855,161,23844,12542,163,23804,12740,176,24218,13076,185,24282,13089,189,23860,13034,162,24443,13107,177,23972,12905,167,24007,12983,199,22875,12348,180,22530,12158,180,22900,12216,184,22584,12416,151,23424,12855,141,23652,13041,146,22288,12446,143,23223,12754,145,22567,12689,129
"55-59 years old",327029,176859,2598,15656,8278,139,16507,8675,141,16536,8677,126,18142,9630,166,18558,9866,117,18479,9871,154,19234,10358,156,19106,10274,165,19007,10127,171,17577,9509,166,17240,9321,136,17875,9667,138,17791,9841,130,18991,10476,120,19048,10430,138,18258,10125,132,19395,10699,160,19629,11035,143
"60-64 years old",240176,128474,2139,11579,6094,114,12102,6383,106,11890,6339,124,12429,6567,117,12734,6789,106,12960,6801,119,13172,7007,155,13284,6960,138,13482,7050,123,12918,6865,124,13420,7000,112,13822,7321,125,13742,7564,101,14193,7718,106,14311,7768,111,14117,7723,118,14798,8029,116,15223,8496,124
"65-69 years old",174234,93659,1789,9697,5217,116,9390,5031,114,9210,4928,114,9559,5154,95,9505,5158,93,9132,4875,102,9057,4780,108,9082,4821,98,9095,4803,110,8714,4601,92,8640,4589,72,9294,4987,93,9269,5036,87,10365,5558,92,10689,5759,87,10464,5655,102,11382,6226,101,11690,6481,113
"70-74 years old",133543,72447,1783,8098,4489,123,8094,4399,111,7955,4295,113,8324,4448,120,8070,4415,126,7706,4143,115,7502,4034,91,7362,3974,93,7117,3873,90,6556,3453,93,6425,3431,88,6742,3641,98,6482,3560,95,7045,3904,79,7182,3907,79,7074,3749,91,7681,4197,92,8128,4535,86
"75-79 years old",102219,56756,1766,6127,3477,133,6231,3450,135,6143,3419,117,6427,3561,110,6133,3357,91,6131,3374,119,6043,3392,105,5915,3256,115,5856,3172,88,5192,2874,81,5160,2846,89,5315,2947,88,5127,2920,90,5288,2923,82,5291,2990,80,5039,2802,93,5276,2918,78,5525,3078,72
"80+ years old",102488,59011,2819,4741,2707,168,5013,2859,145,5177,3019,140,5495,3106,188,5663,3291,156,5599,3235,155,5790,3334,180,5806,3359,152,5696,3289,168,5366,3137,159,5591,3153,158,5780,3324,147,5917,3427,151,6134,3523,135,6048,3421,162,6007,3444,127,6272,3595,165,6393,3788,163
