
Weather,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",3399066,218457,222848,216542,222665,216123,206104,204701,199976,192745,176394,170770,172081,167741,166728,164525,156366,161055,163245
"Clear and sunny",2338088,153889,149956,148634,152191,146311,137116,139115,133264,132658,118536,119373,120163,114656,116751,113724,109189,116158,116404
"Overcast, cloudy but no precipitation",362500,19528,26152,23979,25024,23851,24043,22739,22979,20507,19760,17459,18140,17612,16673,16683,15752,15488,16131
"Raining",340408,25130,23801,22552,20147,21515,21591,20562,24368,17449,16181,16999,17940,17592,16573,14819,14293,14574,14322
"Snowing, not including drifting snow",217981,12193,14595,12836,16239,14441,13620,13193,10229,13522,13996,10481,9612,11545,10209,12232,10244,8675,10119
"Freezing rain, sleet, hail",20077,1417,1037,1410,1533,1437,1307,1260,1366,1016,1143,882,808,866,1082,977,758,714,1064
"Visibility limitation",53711,2227,3398,3270,3199,3991,3896,3140,3076,3365,3026,2328,2382,2507,2454,2972,3288,2748,2444
"Strong wind",10378,582,466,548,667,635,738,472,545,556,805,587,502,527,431,677,681,475,484
"Other",8250,510,594,636,633,551,595,509,555,489,511,374,387,432,309,330,276,254,305
"Unknown",47673,2981,2849,2677,3032,3391,3198,3711,3594,3183,2436,2287,2147,2004,2246,2111,1885,1969,1972
