Weather,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",6469219,412887,421346,408671,419237,406319,388446,385756,377755,367721,337489,330103,333987,324537,322292,316544,299422,309107,307600
"Clear and sunny",4516098,294564,288362,283993,292087,279316,262581,266587,255098,257111,230580,233859,236774,225087,228696,221863,211693,225725,222122
"Overcast, cloudy but no precipitation",657838,35194,46635,42836,44465,42550,42929,40486,41390,37694,36001,32054,33819,32869,30884,30905,29105,28486,29536
"Raining",654448,48029,45993,43891,38491,41193,41408,39214,47022,33143,30951,33390,34885,34256,32221,28585,27328,27787,26661
"Snowing, not including drifting snow",388117,21487,25822,22861,28274,25478,23982,23067,17740,24012,25425,18966,17174,20732,18316,22132,18677,15928,18044
"Freezing rain, sleet, hail",33335,2289,1684,2360,2515,2354,2171,2154,2319,1662,1897,1415,1294,1427,1825,1640,1277,1197,1855
"Visibility limitation",91305,3687,5516,5455,5281,6644,6667,5088,5091,5783,5290,4043,3980,4392,4180,5333,5908,4800,4167
"Strong wind",16773,902,780,885,1043,998,1119,723,847,909,1303,962,787,862,765,1115,1146,826,801
"Other",15996,970,1079,1271,1219,1083,1145,974,1098,928,1049,715,774,848,636,629,518,493,567
"Unknown",95309,5765,5475,5119,5862,6703,6444,7463,7150,6479,4993,4699,4500,4064,4769,4342,3770,3865,3847
