
Year,"Total","Total","Total","Total","Total","1999","1999","1999","1999","1999","2000","2000","2000","2000","2000","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2011","2011","2011","2011","2011","2012","2012","2012","2012","2012","2013","2013","2013","2013","2013","2014","2014","2014","2014","2014","2015","2015","2015","2015","2015","2016","2016","2016","2016","2016"
Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities","Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"Weather",
"Total",2455739,4417694,6469219,3399066,44167,151315,276090,412887,218457,2980,155838,283846,421346,222848,2904,151438,275437,408671,216542,2758,156415,283066,419237,222665,2921,152980,276460,406319,216123,2777,147588,265674,388446,206104,2735,148111,265472,385756,204701,2898,145103,259095,377755,199976,2871,141070,251239,367721,192745,2753,129764,230513,337489,176394,2431,125456,223482,330103,170770,2216,125636,224660,333987,172081,2238,124199,221626,324537,167741,2023,124683,222854,322292,166728,2075,122132,219824,316544,164525,1951,116278,209781,299422,156366,1846,119540,215987,309107,161055,1895,118193,212588,307600,163245,1895
"Clear and sunny",1687697,3087492,4516098,2338088,29669,106732,197548,294564,153889,2022,104892,194202,288362,149956,1949,103811,191134,283993,148634,1821,106786,197083,292087,152191,1854,103544,190090,279316,146311,1826,98295,179741,262581,137116,1752,100539,183339,266587,139115,1917,96519,175153,255098,133264,1858,96973,175816,257111,132658,1839,87413,158094,230580,118536,1648,87733,158462,233859,119373,1509,87283,158937,236774,120163,1551,84827,154155,225087,114656,1370,87179,158880,228696,116751,1450,84410,154636,221863,113724,1336,81023,148445,211693,109189,1303,86137,158247,225725,116158,1343,83601,153530,222122,116404,1321
"Overcast, cloudy but no precipitation",264803,458809,657838,362500,5803,13654,23790,35194,19528,365,18391,32119,46635,26152,418,16938,29681,42836,23979,375,17882,31099,44465,25024,450,17059,29609,42550,23851,408,17393,30211,42929,24043,393,16644,28732,40486,22739,410,16906,29153,41390,22979,398,15299,26283,37694,20507,383,14635,25030,36001,19760,292,12901,22216,32054,17459,280,13572,23388,33819,18140,277,13196,22774,32869,17612,258,12558,21586,30884,16673,221,12420,21615,30905,16683,226,11820,20615,29105,15752,202,11477,19974,28486,15488,220,12058,20934,29536,16131,227
"Raining",243410,434886,654448,340408,3666,17093,31263,48029,25130,278,16244,30182,45993,23801,197,15760,29085,43891,22552,238,13961,25313,38491,20147,195,14983,27233,41193,21515,223,15273,27585,41408,21591,265,14702,26378,39214,20562,259,17647,31441,47022,24368,292,12541,22026,33143,17449,192,11712,20446,30951,16181,213,12425,22113,33390,16999,196,13061,23020,34885,17940,193,12958,22752,34256,17592,158,12297,21517,32221,16573,177,10826,19116,28585,14819,148,10660,18604,27328,14293,137,10863,18871,27787,14574,150,10404,17941,26661,14322,155
"Snowing, not including drifting snow",156671,260980,388117,217981,2666,8338,14028,21487,12193,192,10336,17255,25822,14595,177,8909,15186,22861,12836,180,11368,18690,28274,16239,262,10165,17036,25478,14441,176,9661,16018,23982,13620,167,9502,15590,23067,13193,190,7312,11928,17740,10229,148,9870,16254,24012,13522,177,10150,16986,25425,13996,146,7620,12674,18966,10481,121,7041,11511,17174,9612,111,8351,13758,20732,11545,130,7564,12408,18316,10209,102,9118,15402,22132,12232,129,7641,13103,18677,10244,92,6367,10877,15928,8675,85,7358,12276,18044,10119,81
"Freezing rain, sleet, hail",14288,22019,33335,20077,300,976,1545,2289,1417,14,685,1066,1684,1037,19,960,1516,2360,1410,36,1052,1639,2515,1533,28,990,1570,2354,1437,15,878,1359,2171,1307,21,926,1428,2154,1260,17,1004,1579,2319,1366,20,743,1058,1662,1016,14,829,1231,1897,1143,24,609,932,1415,882,11,583,871,1294,808,14,640,962,1427,866,11,809,1229,1825,1082,15,711,1095,1640,977,9,563,871,1277,758,11,538,819,1197,714,10,792,1249,1855,1064,11
"Visibility limitation",37258,63020,91305,53711,1240,1469,2422,3687,2227,57,2328,3771,5516,3398,97,2147,3691,5455,3270,66,2137,3540,5281,3199,86,2746,4613,6644,3991,86,2667,4637,6667,3896,100,2184,3531,5088,3140,67,2058,3453,5091,3076,100,2369,3991,5783,3365,94,2091,3643,5290,3026,48,1615,2697,4043,2328,57,1676,2726,3980,2382,49,1813,3115,4392,2507,49,1788,2910,4180,2454,57,2118,3635,5333,2972,60,2284,4238,5908,3288,67,1956,3440,4800,2748,50,1812,2967,4167,2444,50
