Year,Geography,Incidents,Value
2001,Alberta,Total number of casualties,27987
2001,Alberta,Number killed,404
2001,Alberta,Number injured,27583
2002,Alberta,Total number of casualties,29361
2002,Alberta,Number killed,372
2002,Alberta,Number injured,28989
2003,Alberta,Total number of casualties,26811
2003,Alberta,Number killed,385
2003,Alberta,Number injured,26426
2004,Alberta,Total number of casualties,24636
2004,Alberta,Number killed,387
2004,Alberta,Number injured,24249
2005,Alberta,Total number of casualties,24970
2005,Alberta,Number killed,466
2005,Alberta,Number injured,24504
2006,Alberta,Total number of casualties,26417
2006,Alberta,Number killed,453
2006,Alberta,Number injured,25964
2007,Alberta,Total number of casualties,24988
2007,Alberta,Number killed,458
2007,Alberta,Number injured,24530
2008,Alberta,Total number of casualties,22425
2008,Alberta,Number killed,410
2008,Alberta,Number injured,22015
2009,Alberta,Total number of casualties,19518
2009,Alberta,Number killed,351
2009,Alberta,Number injured,19167
2010,Alberta,Total number of casualties,18597
2010,Alberta,Number killed,344
2010,Alberta,Number injured,18253
2011,Alberta,Total number of casualties,18897
2011,Alberta,Number killed,313
2011,Alberta,Number injured,18584
2012,Alberta,Total number of casualties,18565
2012,Alberta,Number killed,345
2012,Alberta,Number injured,18220
2013,Alberta,Total number of casualties,19008
2013,Alberta,Number killed,358
2013,Alberta,Number injured,18650
2014,Alberta,Total number of casualties,19114
2014,Alberta,Number killed,369
2014,Alberta,Number injured,18745
